interatomic distance(nm), energy(K), force(nN), time elapsed
0.380000000000, -125.092417150365, 25.678709256663, 0.0000
0.379998821510, -125.092719736982, 25.672871570720, 0.0003
0.379996486258, -125.093319128038, 25.661302641535, 0.0006
0.379992994767, -125.094214788340, 25.644002702019, 0.0009
0.379988347814, -125.095405917954, 25.620972102995, 0.0012
0.379982546438, -125.096891452665, 25.592211316083, 0.0015
0.379975591934, -125.098670064614, 25.557720937535, 0.0018
0.379967485858, -125.100740163078, 25.517501693029, 0.0021
0.379958230020, -125.103099895413, 25.471554443420, 0.0024
0.379947826492, -125.105747148152, 25.419880191437, 0.0027
0.379936277601, -125.108679548259, 25.362480089342, 0.0030
0.379923585933, -125.111894464553, 25.299355447531, 0.0033
0.379909754334, -125.115389009272, 25.230507744103, 0.0036
0.379894785905, -125.119160039816, 25.155938635363, 0.0039
0.379878684006, -125.123204160635, 25.075649967286, 0.0042
0.379861452255, -125.127517725291, 24.989643787926, 0.0045
0.379843094527, -125.132096838673, 24.897922360775, 0.0048
0.379823614955, -125.136937359380, 24.800488179063, 0.0051
0.379803017928, -125.142034902263, 24.697343981008, 0.0054
0.379781308095, -125.147384841140, 24.588492766007, 0.0057
0.379758490361, -125.152982311668, 24.473937811759, 0.0060
0.379734569886, -125.158822214388, 24.353682692337, 0.0063
0.379709552089, -125.164899217935, 24.227731297187, 0.0066
0.379683442646, -125.171207762415, 24.096087851058, 0.0069
0.379656247487, -125.177742062958, 23.958756934862, 0.0072
0.379627972801, -125.184496113437, 23.815743507454, 0.0075
0.379598625032, -125.191463690358, 23.667052928334, 0.0078
0.379568210880, -125.198638356927, 23.512690981258, 0.0081
0.379536737299, -125.206013467291, 23.352663898761, 0.0084
0.379504211500, -125.213582170948, 23.186978387581, 0.0087
0.379470640950, -125.221337417341, 23.015641654974, 0.0090
0.379436033367, -125.229271960620, 22.838661435923, 0.0093
0.379400396726, -125.237378364591, 22.656046021220, 0.0096
0.379363739256, -125.245649007836, 22.467804286428, 0.0099
0.379326069438, -125.254076089015, 22.273945721691, 0.0102
0.379287396007, -125.262651632350, 22.074480462409, 0.0105
0.379247727952, -125.271367493281, 21.869419320744, 0.0108
0.379207074510, -125.280215364314, 21.658773817957, 0.0111
0.379165445175, -125.289186781041, 21.442556217558, 0.0114
0.379122849688, -125.298273128347, 21.220779559257, 0.0117
0.379079298042, -125.307465646791, 20.993457693707, 0.0120
0.379034800479, -125.316755439178, 20.760605318003, 0.0123
0.378989367492, -125.326133477302, 20.522238011947, 0.0126
0.378943009822, -125.335590608878, 20.278372275036, 0.0129
0.378895738455, -125.345117564647, 20.029025564175, 0.0132
0.378847564628, -125.354704965664, 19.774216332069, 0.0135
0.378798499821, -125.364343330765, 19.513964066299, 0.0138
0.378748555761, -125.374023084204, 19.248289329035, 0.0141
0.378697744418, -125.383734563477, 18.977213797373, 0.0144
0.378646078008, -125.393468027308, 18.700760304273, 0.0147
0.378593568986, -125.403213663816, 18.418952880050, 0.0150
0.378540230050, -125.412961598847, 18.131816794416, 0.0153
0.378486074138, -125.422701904472, 17.839378599015, 0.0156
0.378431114427, -125.432424607658, 17.541666170436, 0.0159
0.378375364330, -125.442119699086, 17.238708753662, 0.0162
0.378318837499, -125.451777142143, 16.930537005915, 0.0165
0.378261547820, -125.461386882059, 16.617183040865, 0.0168
0.378203509411, -125.470938855193, 16.298680473157, 0.0171
0.378144736623, -125.480422998473, 15.975064463221, 0.0174
0.378085244038, -125.489829258972, 15.646371762307, 0.0177
0.378025046466, -125.499147603617, 15.312640757715, 0.0180
0.377964158945, -125.508368029039, 14.973911518155, 0.0183
0.377902596737, -125.517480571536, 14.630225839207, 0.0186
0.377840375327, -125.526475317165, 14.281627288800, 0.0189
0.377777510423, -125.535342411936, 13.928161252685, 0.0192
0.377714017952, -125.544072072118, 13.569874979824, 0.0195
0.377649914057, -125.552654594639, 13.206817627647, 0.0198
0.377585215096, -125.561080367578, 12.839040307107, 0.0201
0.377519937641, -125.569339880731, 12.466596127481, 0.0204
0.377454098473, -125.577423736255, 12.089540240837, 0.0207
0.377387714582, -125.585322659374, 11.707929886116, 0.0210
0.377320803163, -125.593027509133, 11.321824432742, 0.0213
0.377253381612, -125.600529289199, 10.931285423696, 0.0216
0.377185467526, -125.607819158690, 10.536376617988, 0.0219
0.377117078700, -125.614888443028, 10.137164032432, 0.0222
0.377048233120, -125.621728644794, 9.733715982661, 0.0225
