interatomic distance(nm), energy(K), force(nN), time elapsed
0.380000000000, -125.092417150365, -25.678709256663, 0.000
0.380002642899, -125.091738314951, -25.691799474752, 0.001
0.380006572087, -125.090728453590, -25.711256907442, 0.002
0.380011788538, -125.089386564937, -25.737081982672, 0.003
0.380018293544, -125.087711318955, -25.769275262142, 0.004
0.380026088718, -125.085701056048, -25.807837435996, 0.005
0.380035175990, -125.083353785978, -25.852769316199, 0.006
0.380045557609, -125.080667186579, -25.904071828602, 0.007
0.380057236145, -125.077638602250, -25.961746003692, 0.008
0.380070214484, -125.074265042243, -26.025792966030, 0.009
0.380084495832, -125.070543178743, -26.096213922382, 0.010
0.380100083717, -125.066469344730, -26.173010148529, 0.011
0.380116981982, -125.062039531645, -26.256182974768, 0.012
0.380135194791, -125.057249386842, -26.345733770095, 0.013
0.380154726628, -125.052094210838, -26.441663925078, 0.014
0.380175582295, -125.046568954360, -26.543974833413, 0.015
0.380197766915, -125.040668215188, -26.652667872160, 0.016
0.380221285930, -125.034386234806, -26.767744380672, 0.017
0.380246145100, -125.027716894845, -26.889205638207, 0.018
0.380272350507, -125.020653713339, -27.017052840217, 0.019
0.380299908551, -125.013189840785, -27.151287073341, 0.020
0.380328825953, -125.005318056017, -27.291909289068, 0.021
0.380359109754, -124.997030761886, -27.438920276100, 0.022
0.380390767312, -124.988319980763, -27.592320631405, 0.023
0.380423806308, -124.979177349859, -27.752110729961, 0.024
0.380458234743, -124.969594116366, -27.918290693202, 0.025
0.380494060935, -124.959561132424, -28.090860356157, 0.026
0.380531293525, -124.949068849930, -28.269819233308, 0.027
0.380569941472, -124.938107315161, -28.455166483142, 0.028
0.380610014055, -124.926666163262, -28.646900871437, 0.029
0.380651520874, -124.914734612555, -28.845020733257, 0.030
0.380694471848, -124.902301458715, -29.049523933686, 0.031
0.380738877215, -124.889355068793, -29.260407827304, 0.032
0.380784747532, -124.875883375103, -29.477669216412, 0.033
0.380832093677, -124.861873868974, -29.701304308014, 0.034
0.380880926847, -124.847313594381, -29.931308669581, 0.035
0.380931258557, -124.832189141453, -30.167677183599, 0.036
0.380983100639, -124.816486639867, -30.410404000922, 0.037
0.381036465247, -124.800191752146, -30.659482492946, 0.038
0.381091364850, -124.783289666854, -30.914905202616, 0.039
0.381147812236, -124.765765091707, -31.176663794305, 0.040
0.381205820511, -124.747602246606, -31.444749002557, 0.041
0.381265403095, -124.728784856600, -31.719150579749, 0.042
0.381326573727, -124.709296144791, -31.999857242674, 0.043
0.381389346460, -124.689118825191, -32.286856618086, 0.044
0.381453735662, -124.668235095542, -32.580135187233, 0.045
0.381519756017, -124.646626630109, -32.879678229407, 0.046
0.381587422521, -124.624274572461, -33.185469764550, 0.047
0.381656750484, -124.601159528251, -33.497492494955, 0.048
0.381727755527, -124.577261558001, -33.815727746088, 0.049
0.381800453582, -124.552560169926, -34.140155406593, 0.050
0.381874860892, -124.527034312785, -34.470753867505, 0.051
0.381950994008, -124.500662368792, -34.807499960733, 0.052
0.382028869789, -124.473422146597, -35.150368896854, 0.053
0.382108505400, -124.445290874352, -35.499334202278, 0.054
0.382189918314, -124.416245192880, -35.854367655830, 0.055
0.382273126303, -124.386261148962, -36.215439224819, 0.056
0.382358147446, -124.355314188767, -36.582517000654, 0.057
0.382445000119, -124.323379151430, -36.955567134064, 0.058
0.382533703000, -124.290430262810, -37.334553769998, 0.059
0.382624275063, -124.256441129445, -37.719438982280, 0.060
0.382716735575, -124.221384732716, -38.110182708087, 0.061
0.382811104101, -124.185233423253, -38.506742682329, 0.062
0.382907400492, -124.147958915595, -38.909074372024, 0.063
0.383005644893, -124.109532283131, -39.317130910733, 0.064
0.383105857732, -124.069923953345, -39.730863033174, 0.065
0.383208059722, -124.029103703388, -40.150219010073, 0.066
0.383312271859, -123.987040655992, -40.575144583375, 0.067
0.383418515415, -123.943703275772, -41.005582901909, 0.068
0.383526811942, -123.899059365918, -41.441474457596, 0.069
0.383637183260, -123.853076065314, -41.882757022327, 0.070
0.383749651464, -123.805719846113, -42.329365585609, 0.071
0.383864238911, -123.756956511782, -42.781232293087, 0.072
0.383980968225, -123.706751195664, -43.238286386086, 0.073
0.384099862288, -123.655068360061, -43.700454142252, 0.074
0.384220944238, -123.601871795886, -44.167658817455, 0.075
0.384344237464, -123.547124622896, -44.639820589054, 0.076
0.384469765606, -123.490789290555, -45.116856500667, 0.077
0.384597552546, -123.432827579530, -45.598680408572, 0.078
0.384727622407, -123.373200603869, -46.085202929878, 0.079
0.384859999545, -123.311868813886, -46.576331392598, 0.080
0.384994708548, -123.248791999774, -47.071969787774, 0.081
0.385131774231, -123.183929295986, -47.572018723785, 0.082
0.385271221627, -123.117239186409, -48.076375382989, 0.083
0.385413075988, -123.048679510353, -48.584933480845, 0.084
0.385557362773, -122.978207469408, -49.097583227655, 0.085
0.385704107648, -122.905779635160, -49.614211293093, 0.086
0.385853336478, -122.831351957835, -50.134700773645, 0.087
0.386005075320, -122.754879775870, -50.658931163134, 0.088
0.386159350420, -122.676317826454, -51.186778326463, 0.089
0.386316188203, -122.595620257062, -51.718114476750, 0.090
0.386475615271, -122.512740638007, -52.252808155973, 0.091
0.386637658391, -122.427631976042, -52.790724219308, 0.092
0.386802344496, -122.340246729026, -53.331723823292, 0.093
0.386969700669, -122.250536821699, -53.875664417956, 0.094
0.387139754141, -122.158453662565, -54.422399743090, 0.095
0.387312532286, -122.063948161917, -54.971779828767, 0.096
0.387488062606, -121.966970751037, -55.523651000283, 0.097
0.387666372731, -121.867471402566, -56.077855887634, 0.098
